date,nav,daily_pnl,n_positions,unrealized_pnl
2026-06-18,995560.45,1119.4,7,
2026-06-20,995985.35,,7,1397.2999999999995
2026-06-22,1004843.32,,7,7656.379999999999
2026-06-23,940368.49,,7,-38251.28
2026-06-24,968671.3,,7,-18165.54
2026-06-25,942784.99,,7,-36790.27
2026-06-26,923770.25,,12,-26906.630000000005
2026-06-30,983050.17,,15,20181.9
2026-07-01,939448.07,,15,-9698.94
2026-07-02,905515.12,,15,-33593.670000000006
2026-07-03,909201.52,,15,-30747.26
2026-07-06,941859.62,,15,-7712.860000000003
2026-07-07,895330.6,,15,-33319.70999999999
2026-07-08,899560.53,,15,-26464.52
2026-07-09,924857.94,,15,-8249.600000000002
2026-07-10,931767.19,,16,-3062.150000000001
2026-07-13,893691.66,,16,-29658.47
2026-07-14,915071.94,,18,-14347.989999999998
2026-07-15,909368.84,,18,-18120.829999999998
