# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: RSP
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 5829
date,open,high,low,close,volume
2003-04-30,17.72,17.87,17.64,17.78,614000.0
2003-05-01,17.56,17.79,17.5,17.73,157200.0
2003-05-02,17.71,18.06,17.71,18.06,61200.0
2003-05-05,18.09,18.18,18.03,18.1,140000.0
2003-05-06,18.11,18.32,18.11,18.24,30000.0
2003-05-07,18.13,18.3,18.08,18.17,20800.0
2003-05-08,18.0,18.09,17.97,17.97,92800.0
2003-05-09,18.11,18.27,18.03,18.23,28800.0
2003-05-12,18.25,18.58,18.23,18.57,36800.0
2003-05-13,18.51,18.61,18.47,18.52,16800.0
2003-05-14,18.55,18.57,18.48,18.57,35600.0
2003-05-15,18.71,18.76,18.61,18.76,41600.0
2003-05-16,18.72,18.79,18.6,18.79,44800.0
2003-05-19,18.71,18.71,18.3,18.3,38800.0
2003-05-20,18.4,18.42,18.14,18.28,224400.0
2003-05-21,18.24,18.35,18.16,18.35,617600.0
2003-05-22,18.4,18.64,18.4,18.62,17200.0
2003-05-23,18.58,18.73,18.56,18.72,124800.0
2003-05-27,18.67,19.12,18.67,19.12,28800.0
2003-05-28,19.17,19.25,19.08,19.17,136000.0
2003-05-29,19.21,19.35,19.07,19.11,92000.0
2003-05-30,19.24,19.48,19.24,19.48,19600.0
2003-06-02,19.66,19.81,19.59,19.59,49200.0
2003-06-03,19.55,19.64,19.49,19.58,129200.0
2003-06-04,19.58,20.0,19.58,19.99,144400.0
2003-06-05,19.87,20.13,19.87,20.13,31200.0
2003-06-06,20.33,20.54,20.03,20.03,57200.0
2003-06-09,19.89,19.92,19.67,19.7,104000.0
2003-06-10,19.85,19.87,19.73,19.84,70400.0
2003-06-11,19.82,20.19,19.82,20.19,88800.0
2003-06-12,20.31,20.31,20.13,20.27,54400.0
2003-06-13,20.26,20.26,19.9,19.96,155600.0
2003-06-16,20.08,20.36,20.04,20.36,63200.0
2003-06-17,20.42,20.42,20.27,20.4,34800.0
2003-06-18,20.3,20.42,20.23,20.3,29200.0
2003-06-19,20.36,20.4,20.03,20.04,62400.0
2003-06-20,20.13,20.25,20.01,20.02,78000.0
2003-06-23,19.77,19.77,19.64,19.74,32000.0
2003-06-24,19.68,19.75,19.55,19.68,109200.0
2003-06-25,19.74,19.83,19.57,19.57,36800.0
2003-06-26,19.57,19.77,19.55,19.74,70000.0
2003-06-27,19.82,19.83,19.63,19.63,22400.0
2003-06-30,19.79,19.79,19.58,19.65,53600.0
2003-07-01,19.58,19.73,19.34,19.71,62400.0
2003-07-02,19.73,19.96,19.73,19.96,117600.0
2003-07-03,19.87,20.0,19.75,19.85,25200.0
2003-07-07,20.08,20.23,20.08,20.19,49200.0
2003-07-08,20.2,20.38,20.14,20.38,49200.0
2003-07-09,20.3,20.43,20.26,20.39,21600.0
2003-07-10,20.21,20.21,19.92,20.01,25600.0
2003-07-11,20.11,20.19,20.08,20.13,17200.0
2003-07-14,20.36,20.48,20.34,20.42,28800.0
2003-07-15,20.38,20.38,20.14,20.17,98000.0
2003-07-16,20.23,20.23,19.93,19.99,27200.0
2003-07-17,19.92,19.92,19.7,19.7,13600.0
2003-07-18,19.74,19.99,19.74,19.96,22800.0
2003-07-21,19.75,19.75,19.7,19.7,70800.0
2003-07-22,19.7,19.96,19.7,19.95,26800.0
