# IMMUTABLE RAW PULL — DO NOT MODIFY
# Instrument: SPY
# Source: IBKR TWS port 7497
# whatToShow: ADJUSTED_LAST
# barSizeSetting: 1 day, useRTH: True
# Pull date: 2026-07-01
# Rows: 6033
date,open,high,low,close,volume
2002-07-08,68.7,69.2,67.72,68.07,19123100.0
2002-07-09,67.84,68.26,65.95,66.36,28636000.0
2002-07-10,66.64,66.68,63.89,63.94,50533700.0
2002-07-11,63.69,64.8,62.69,64.46,59537700.0
2002-07-12,64.78,65.17,63.53,63.76,39026100.0
2002-07-15,63.61,64.14,61.01,64.1,77322900.0
2002-07-16,63.26,64.12,62.38,62.86,53293100.0
2002-07-17,64.18,64.76,62.3,62.98,49016200.0
2002-07-18,62.96,63.23,60.91,60.94,32721600.0
2002-07-19,60.23,60.77,58.51,58.8,77712000.0
2002-07-22,58.38,59.63,56.54,57.06,78252700.0
2002-07-23,57.3,57.78,55.36,55.49,74520500.0
2002-07-24,54.24,59.08,53.92,58.81,107023100.0
2002-07-25,58.5,59.59,56.64,58.31,87195600.0
2002-07-26,58.76,59.65,58.17,59.42,41211700.0
2002-07-29,60.74,62.71,60.6,62.31,53498500.0
2002-07-30,62.0,63.44,61.58,63.12,47570000.0
2002-07-31,62.82,63.55,61.95,63.28,44719500.0
2002-08-01,63.08,63.41,61.31,61.62,66576300.0
2002-08-02,61.43,61.72,59.43,60.24,51831200.0
2002-08-05,60.04,60.34,57.99,58.15,47199500.0
2002-08-06,59.16,61.01,59.03,60.1,65257800.0
2002-08-07,61.0,61.43,59.53,61.15,43720300.0
2002-08-08,61.37,63.23,60.94,63.13,48380400.0
2002-08-09,62.54,63.82,62.02,63.37,41880600.0
2002-08-12,62.47,63.35,62.16,62.9,25858300.0
2002-08-13,62.58,63.62,61.53,61.76,49637500.0
2002-08-14,61.79,64.3,61.1,64.01,57437000.0
2002-08-15,64.45,65.24,64.0,64.9,45653700.0
2002-08-16,64.43,65.3,63.86,64.71,36518800.0
2002-08-19,64.87,66.46,64.62,66.22,33676900.0
2002-08-20,65.82,66.22,64.98,65.52,30513600.0
2002-08-21,65.98,66.48,64.95,66.46,39635600.0
2002-08-22,66.28,67.43,65.99,67.11,38404300.0
